# Time 8,KK,Kpp,P,K,Kp,K_KK,Kp_KK,Kpp_P,Kp_P,KKa,Pa
224.5001746111,187,432,170,418,108,106,7,121,9,0,0
225.0001749998,187,435,192,422,123,100,13,98,10,0,0
225.5001753884,180,435,181,423,104,106,14,109,10,0,0
226.0001757771,171,449,175,390,108,119,10,113,12,0,0
226.5001761658,174,453,169,388,103,111,15,117,14,0,0
227.0001765544,171,443,171,378,122,117,12,119,10,0,0
227.5001769431,180,456,172,389,108,106,14,116,12,0,0
228.0001773318,179,460,166,387,99,109,12,126,8,0,0
228.5001777204,183,448,169,374,131,107,10,117,14,0,0
229.0001781091,178,442,177,387,127,112,10,113,10,0,0
229.5001784978,171,444,181,389,120,116,13,106,13,0,0
230.0001788864,196,444,185,412,126,96,8,108,7,0,0
230.5001792751,182,428,173,403,125,102,16,115,12,0,0
231.0001796638,176,431,170,404,112,114,10,117,13,0,0
231.5001800524,182,416,158,418,107,107,11,130,12,0,0
232.0001804411,194,431,177,438,103,101,5,112,11,0,0
232.5001808298,183,427,176,417,116,110,7,115,9,0,0
233.0001812184,170,431,176,404,112,120,10,112,12,0,0
233.5001816071,176,427,186,413,123,107,17,102,12,0,0
234.0001819958,181,436,187,415,118,106,13,102,11,0,0
234.5001823844,171,414,181,408,131,112,17,105,14,0,0
235.0001827731,182,401,173,428,127,103,15,113,14,0,0
235.5001831618,175,414,181,423,120,112,13,107,12,0,0
236.0001835504,172,401,178,425,125,115,13,107,15,0,0
